"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1637","Registration with correct email, username and password","LMS System","Mon Jan 26 14:37:17 UTC 2026","passed","Mon Jan 26 14:37:19 UTC 2026","Registration","Authentication","",""
"","1334","Navigation from login page to registration page","LMS System","Mon Jan 26 14:37:16 UTC 2026","passed","Mon Jan 26 14:37:17 UTC 2026","Authorization","Authentication","",""
"","3678","User login with correct email or password","LMS System","Mon Jan 26 14:37:11 UTC 2026","passed","Mon Jan 26 14:37:15 UTC 2026","Authorization","Authentication","",""
"","1519","Check displaying of dashboard page","LMS System","Mon Jan 26 14:37:27 UTC 2026","passed","Mon Jan 26 14:37:28 UTC 2026","Dashboard","Dashboard","",""
"","1378","User login with wrong email or password","LMS System","Mon Jan 26 14:37:15 UTC 2026","passed","Mon Jan 26 14:37:17 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Mon Jan 26 14:37:26 UTC 2026","passed","Mon Jan 26 14:37:26 UTC 2026","","test_markers","",""
"","0","test_logout","tests.pytest","Mon Jan 26 14:37:26 UTC 2026","passed","Mon Jan 26 14:37:26 UTC 2026","TestUserAuthentification","test_markers","",""
"","1621","User login with wrong email or password","LMS System","Mon Jan 26 14:37:14 UTC 2026","passed","Mon Jan 26 14:37:15 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Mon Jan 26 14:37:26 UTC 2026","passed","Mon Jan 26 14:37:26 UTC 2026","","test_markers","",""
"","0","test_password","tests.pytest","Mon Jan 26 14:37:26 UTC 2026","passed","Mon Jan 26 14:37:26 UTC 2026","TestUserAuthentification","test_markers","",""
"","0","test_critical_login","tests.pytest","Mon Jan 26 14:37:26 UTC 2026","passed","Mon Jan 26 14:37:26 UTC 2026","","test_markers","",""
"","4271","test_edit_course[chromium]","LMS System","Mon Jan 26 14:37:21 UTC 2026","passed","Mon Jan 26 14:37:25 UTC 2026","Courses","Courses","",""
"","4063","Create course","LMS System","Mon Jan 26 14:37:20 UTC 2026","passed","Mon Jan 26 14:37:25 UTC 2026","Courses","Courses","",""
"","2123","User login with wrong email or password","LMS System","Mon Jan 26 14:37:11 UTC 2026","passed","Mon Jan 26 14:37:13 UTC 2026","Authorization","Authentication","",""
"","1553","Check displaying of empty courses list","LMS System","Mon Jan 26 14:37:19 UTC 2026","passed","Mon Jan 26 14:37:20 UTC 2026","Courses","Courses","",""
"","0","test_login","tests.pytest","Mon Jan 26 14:37:26 UTC 2026","passed","Mon Jan 26 14:37:26 UTC 2026","TestUserAuthentification","test_markers","",""
