"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2046","User login with wrong email or password","LMS System","Mon Mar 02 10:25:19 UTC 2026","passed","Mon Mar 02 10:25:21 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Mon Mar 02 10:25:33 UTC 2026","passed","Mon Mar 02 10:25:33 UTC 2026","","test_markers","",""
"","0","test_password","tests.pytest","Mon Mar 02 10:25:33 UTC 2026","passed","Mon Mar 02 10:25:33 UTC 2026","TestUserAuthentification","test_markers","",""
"","4315","test_edit_course[chromium]","LMS System","Mon Mar 02 10:25:28 UTC 2026","passed","Mon Mar 02 10:25:33 UTC 2026","Courses","Courses","",""
"","1368","Navigation from login page to registration page","LMS System","Mon Mar 02 10:25:23 UTC 2026","passed","Mon Mar 02 10:25:25 UTC 2026","Authorization","Authentication","",""
"","1624","Registration with correct email, username and password","LMS System","Mon Mar 02 10:25:25 UTC 2026","passed","Mon Mar 02 10:25:27 UTC 2026","Registration","Authentication","",""
"","0","test_regression_case","tests.pytest","Mon Mar 02 10:25:33 UTC 2026","passed","Mon Mar 02 10:25:33 UTC 2026","","test_markers","",""
"","1519","Check displaying of dashboard page","LMS System","Mon Mar 02 10:25:35 UTC 2026","passed","Mon Mar 02 10:25:36 UTC 2026","Dashboard","Dashboard","",""
"","1397","User login with wrong email or password","LMS System","Mon Mar 02 10:25:23 UTC 2026","passed","Mon Mar 02 10:25:25 UTC 2026","Authorization","Authentication","",""
"","3629","User login with correct email or password","LMS System","Mon Mar 02 10:25:19 UTC 2026","passed","Mon Mar 02 10:25:23 UTC 2026","Authorization","Authentication","",""
"","1549","Check displaying of empty courses list","LMS System","Mon Mar 02 10:25:26 UTC 2026","passed","Mon Mar 02 10:25:28 UTC 2026","Courses","Courses","",""
"","4094","Create course","LMS System","Mon Mar 02 10:25:28 UTC 2026","passed","Mon Mar 02 10:25:32 UTC 2026","Courses","Courses","",""
"","0","test_logout","tests.pytest","Mon Mar 02 10:25:33 UTC 2026","passed","Mon Mar 02 10:25:33 UTC 2026","TestUserAuthentification","test_markers","",""
"","0","test_login","tests.pytest","Mon Mar 02 10:25:33 UTC 2026","passed","Mon Mar 02 10:25:33 UTC 2026","TestUserAuthentification","test_markers","",""
"","1623","User login with wrong email or password","LMS System","Mon Mar 02 10:25:22 UTC 2026","passed","Mon Mar 02 10:25:23 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Mon Mar 02 10:25:33 UTC 2026","passed","Mon Mar 02 10:25:33 UTC 2026","","test_markers","",""
