"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4273","test_edit_course[chromium]","LMS System","Fri Mar 06 10:57:34 UTC 2026","passed","Fri Mar 06 10:57:38 UTC 2026","Courses","Courses","",""
"","1730","Registration with correct email, username and password","LMS System","Fri Mar 06 10:57:30 UTC 2026","passed","Fri Mar 06 10:57:32 UTC 2026","Registration","Authentication","",""
"","1901","User login with wrong email or password","LMS System","Fri Mar 06 10:57:24 UTC 2026","passed","Fri Mar 06 10:57:26 UTC 2026","Authorization","Authentication","",""
"","1750","User login with wrong email or password","LMS System","Fri Mar 06 10:57:27 UTC 2026","passed","Fri Mar 06 10:57:28 UTC 2026","Authorization","Authentication","",""
"","1682","Check displaying of dashboard page","LMS System","Fri Mar 06 10:57:39 UTC 2026","passed","Fri Mar 06 10:57:41 UTC 2026","Dashboard","Dashboard","",""
"","1419","User login with wrong email or password","LMS System","Fri Mar 06 10:57:28 UTC 2026","passed","Fri Mar 06 10:57:30 UTC 2026","Authorization","Authentication","",""
"","4304","Create course","LMS System","Fri Mar 06 10:57:34 UTC 2026","passed","Fri Mar 06 10:57:38 UTC 2026","Courses","Courses","",""
"","1545","Check displaying of empty courses list","LMS System","Fri Mar 06 10:57:32 UTC 2026","passed","Fri Mar 06 10:57:34 UTC 2026","Courses","Courses","",""
"","1376","Navigation from login page to registration page","LMS System","Fri Mar 06 10:57:29 UTC 2026","passed","Fri Mar 06 10:57:30 UTC 2026","Authorization","Authentication","",""
"","3555","User login with correct email or password","LMS System","Fri Mar 06 10:57:24 UTC 2026","passed","Fri Mar 06 10:57:28 UTC 2026","Authorization","Authentication","",""
