"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_password_reset","tests.pytest","Wed Jan 28 16:50:14 UTC 2026","passed","Wed Jan 28 16:50:14 UTC 2026","","test_markers","",""
"","1619","Check displaying of empty courses list","LMS System","Wed Jan 28 16:50:07 UTC 2026","passed","Wed Jan 28 16:50:09 UTC 2026","Courses","Courses","",""
"","1401","Navigation from login page to registration page","LMS System","Wed Jan 28 16:50:05 UTC 2026","passed","Wed Jan 28 16:50:06 UTC 2026","Authorization","Authentication","",""
"","1556","Check displaying of dashboard page","LMS System","Wed Jan 28 16:50:16 UTC 2026","passed","Wed Jan 28 16:50:17 UTC 2026","Dashboard","Dashboard","",""
"","1920","User login with wrong email or password","LMS System","Wed Jan 28 16:50:00 UTC 2026","passed","Wed Jan 28 16:50:02 UTC 2026","Authorization","Authentication","",""
"","4105","Create course","LMS System","Wed Jan 28 16:50:09 UTC 2026","passed","Wed Jan 28 16:50:13 UTC 2026","Courses","Courses","",""
"","3519","User login with correct email or password","LMS System","Wed Jan 28 16:50:00 UTC 2026","passed","Wed Jan 28 16:50:04 UTC 2026","Authorization","Authentication","",""
"","4154","test_edit_course[chromium]","LMS System","Wed Jan 28 16:50:10 UTC 2026","passed","Wed Jan 28 16:50:14 UTC 2026","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Wed Jan 28 16:50:14 UTC 2026","passed","Wed Jan 28 16:50:14 UTC 2026","","test_markers","",""
"","1","test_password","tests.pytest","Wed Jan 28 16:50:14 UTC 2026","passed","Wed Jan 28 16:50:14 UTC 2026","TestUserAuthentification","test_markers","",""
"","1608","User login with wrong email or password","LMS System","Wed Jan 28 16:50:03 UTC 2026","passed","Wed Jan 28 16:50:04 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Wed Jan 28 16:50:14 UTC 2026","passed","Wed Jan 28 16:50:14 UTC 2026","TestUserAuthentification","test_markers","",""
"","0","test_critical_login","tests.pytest","Wed Jan 28 16:50:14 UTC 2026","passed","Wed Jan 28 16:50:14 UTC 2026","","test_markers","",""
"","1706","Registration with correct email, username and password","LMS System","Wed Jan 28 16:50:06 UTC 2026","passed","Wed Jan 28 16:50:08 UTC 2026","Registration","Authentication","",""
"","0","test_logout","tests.pytest","Wed Jan 28 16:50:14 UTC 2026","passed","Wed Jan 28 16:50:14 UTC 2026","TestUserAuthentification","test_markers","",""
"","1470","User login with wrong email or password","LMS System","Wed Jan 28 16:50:04 UTC 2026","passed","Wed Jan 28 16:50:06 UTC 2026","Authorization","Authentication","",""
