"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1927","User login with wrong email or password","LMS System","Mon Jan 26 14:42:52 UTC 2026","passed","Mon Jan 26 14:42:54 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Mon Jan 26 14:43:08 UTC 2026","passed","Mon Jan 26 14:43:08 UTC 2026","TestUserAuthentification","test_markers","",""
"","0","test_login","tests.pytest","Mon Jan 26 14:43:08 UTC 2026","passed","Mon Jan 26 14:43:08 UTC 2026","TestUserAuthentification","test_markers","",""
"","1","test_password_reset","tests.pytest","Mon Jan 26 14:43:08 UTC 2026","passed","Mon Jan 26 14:43:08 UTC 2026","","test_markers","",""
"","1409","User login with wrong email or password","LMS System","Mon Jan 26 14:42:56 UTC 2026","passed","Mon Jan 26 14:42:57 UTC 2026","Authorization","Authentication","",""
"","1602","User login with wrong email or password","LMS System","Mon Jan 26 14:42:55 UTC 2026","passed","Mon Jan 26 14:42:56 UTC 2026","Authorization","Authentication","",""
"","2016","Check displaying of dashboard page","LMS System","Mon Jan 26 14:43:06 UTC 2026","passed","Mon Jan 26 14:43:08 UTC 2026","Dashboard","Dashboard","",""
"","1705","Registration with correct email, username and password","LMS System","Mon Jan 26 14:43:00 UTC 2026","passed","Mon Jan 26 14:43:02 UTC 2026","Registration","Authentication","",""
"","0","test_critical_login","tests.pytest","Mon Jan 26 14:43:08 UTC 2026","passed","Mon Jan 26 14:43:08 UTC 2026","","test_markers","",""
"","4075","test_edit_course[chromium]","LMS System","Mon Jan 26 14:43:04 UTC 2026","passed","Mon Jan 26 14:43:08 UTC 2026","Courses","Courses","",""
"","3390","User login with correct email or password","LMS System","Mon Jan 26 14:42:52 UTC 2026","passed","Mon Jan 26 14:42:56 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Mon Jan 26 14:43:09 UTC 2026","passed","Mon Jan 26 14:43:09 UTC 2026","","test_markers","",""
"","3331","Navigation from login page to registration page","LMS System","Mon Jan 26 14:42:56 UTC 2026","passed","Mon Jan 26 14:43:00 UTC 2026","Authorization","Authentication","",""
"","0","test_password","tests.pytest","Mon Jan 26 14:43:08 UTC 2026","passed","Mon Jan 26 14:43:08 UTC 2026","TestUserAuthentification","test_markers","",""
"","1455","Check displaying of empty courses list","LMS System","Mon Jan 26 14:42:59 UTC 2026","passed","Mon Jan 26 14:43:00 UTC 2026","Courses","Courses","",""
"","3406","Create course","LMS System","Mon Jan 26 14:43:01 UTC 2026","passed","Mon Jan 26 14:43:04 UTC 2026","Courses","Courses","",""
