"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1878","User login with wrong email or password","LMS System","Mon Mar 02 11:06:26 UTC 2026","passed","Mon Mar 02 11:06:28 UTC 2026","Authorization","Authentication","",""
"","1","test_regression_case","tests.pytest","Mon Mar 02 11:06:41 UTC 2026","passed","Mon Mar 02 11:06:41 UTC 2026","","test_markers","",""
"","4810","Create course","LMS System","Mon Mar 02 11:06:35 UTC 2026","passed","Mon Mar 02 11:06:40 UTC 2026","Courses","Courses","",""
"","0","test_login","tests.pytest","Mon Mar 02 11:06:41 UTC 2026","passed","Mon Mar 02 11:06:41 UTC 2026","TestUserAuthentification","test_markers","",""
"","1662","Check displaying of dashboard page","LMS System","Mon Mar 02 11:06:43 UTC 2026","passed","Mon Mar 02 11:06:44 UTC 2026","Dashboard","Dashboard","",""
"","4829","test_edit_course[chromium]","LMS System","Mon Mar 02 11:06:36 UTC 2026","passed","Mon Mar 02 11:06:41 UTC 2026","Courses","Courses","",""
"","1725","User login with wrong email or password","LMS System","Mon Mar 02 11:06:29 UTC 2026","passed","Mon Mar 02 11:06:30 UTC 2026","Authorization","Authentication","",""
"","1518","User login with wrong email or password","LMS System","Mon Mar 02 11:06:30 UTC 2026","passed","Mon Mar 02 11:06:32 UTC 2026","Authorization","Authentication","",""
"","1604","Check displaying of empty courses list","LMS System","Mon Mar 02 11:06:33 UTC 2026","passed","Mon Mar 02 11:06:35 UTC 2026","Courses","Courses","",""
"","1685","Registration with correct email, username and password","LMS System","Mon Mar 02 11:06:32 UTC 2026","passed","Mon Mar 02 11:06:34 UTC 2026","Registration","Authentication","",""
"","1405","Navigation from login page to registration page","LMS System","Mon Mar 02 11:06:31 UTC 2026","passed","Mon Mar 02 11:06:32 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Mon Mar 02 11:06:41 UTC 2026","passed","Mon Mar 02 11:06:41 UTC 2026","TestUserAuthentification","test_markers","",""
"","3463","User login with correct email or password","LMS System","Mon Mar 02 11:06:26 UTC 2026","passed","Mon Mar 02 11:06:30 UTC 2026","Authorization","Authentication","",""
"","0","test_password","tests.pytest","Mon Mar 02 11:06:41 UTC 2026","passed","Mon Mar 02 11:06:41 UTC 2026","TestUserAuthentification","test_markers","",""
"","1","test_password_reset","tests.pytest","Mon Mar 02 11:06:41 UTC 2026","passed","Mon Mar 02 11:06:41 UTC 2026","","test_markers","",""
"","1","test_critical_login","tests.pytest","Mon Mar 02 11:06:41 UTC 2026","passed","Mon Mar 02 11:06:41 UTC 2026","","test_markers","",""
