"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1932","User login with wrong email or password","LMS System","Thu Jan 29 07:54:21 UTC 2026","passed","Thu Jan 29 07:54:23 UTC 2026","Authorization","Authentication","",""
"","3739","Create course","LMS System","Thu Jan 29 07:54:30 UTC 2026","passed","Thu Jan 29 07:54:34 UTC 2026","Courses","Courses","",""
"","1628","User login with wrong email or password","LMS System","Thu Jan 29 07:54:24 UTC 2026","passed","Thu Jan 29 07:54:25 UTC 2026","Authorization","Authentication","",""
"","1485","Check displaying of empty courses list","LMS System","Thu Jan 29 07:54:28 UTC 2026","passed","Thu Jan 29 07:54:30 UTC 2026","Courses","Courses","",""
"","4048","test_edit_course[chromium]","LMS System","Thu Jan 29 07:54:30 UTC 2026","passed","Thu Jan 29 07:54:34 UTC 2026","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Thu Jan 29 07:54:35 UTC 2026","passed","Thu Jan 29 07:54:35 UTC 2026","","test_markers","",""
"","0","test_critical_login","tests.pytest","Thu Jan 29 07:54:35 UTC 2026","passed","Thu Jan 29 07:54:35 UTC 2026","","test_markers","",""
"","0","test_password","tests.pytest","Thu Jan 29 07:54:35 UTC 2026","passed","Thu Jan 29 07:54:35 UTC 2026","TestUserAuthentification","test_markers","",""
"","1309","Navigation from login page to registration page","LMS System","Thu Jan 29 07:54:26 UTC 2026","passed","Thu Jan 29 07:54:27 UTC 2026","Authorization","Authentication","",""
"","1595","Registration with correct email, username and password","LMS System","Thu Jan 29 07:54:27 UTC 2026","passed","Thu Jan 29 07:54:29 UTC 2026","Registration","Authentication","",""
"","0","test_logout","tests.pytest","Thu Jan 29 07:54:35 UTC 2026","passed","Thu Jan 29 07:54:35 UTC 2026","TestUserAuthentification","test_markers","",""
"","3403","User login with correct email or password","LMS System","Thu Jan 29 07:54:21 UTC 2026","passed","Thu Jan 29 07:54:25 UTC 2026","Authorization","Authentication","",""
"","1497","Check displaying of dashboard page","LMS System","Thu Jan 29 07:54:36 UTC 2026","passed","Thu Jan 29 07:54:38 UTC 2026","Dashboard","Dashboard","",""
"","1","test_login","tests.pytest","Thu Jan 29 07:54:35 UTC 2026","passed","Thu Jan 29 07:54:35 UTC 2026","TestUserAuthentification","test_markers","",""
"","1429","User login with wrong email or password","LMS System","Thu Jan 29 07:54:25 UTC 2026","passed","Thu Jan 29 07:54:26 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Thu Jan 29 07:54:35 UTC 2026","passed","Thu Jan 29 07:54:35 UTC 2026","","test_markers","",""
